ID,Text,class
4330,nen á vist bolest vztek smutek zmatek osam ě lost beznad ě j nakonec jen klid asi takhle vypad á m ů j life,neutral
41616,haan yaar neha kab karega woh post usne na sach mein photoshoot karna chahiye phir woh post karega,neutral
6648,television media congress ke liye nhi h ye toh aapko pata chal hi gya hoga achha hoga ki congress ke,negative
2512,all india me nrc lagu kare w kashmir se dhara khatam kare ham indian ko apse yahi umid hai,positive
610,who pagal hai kya they aren t real issues mandir is important hindu khatre mei jo hai,neutral
14356,jeet ki dher sari subh kamnaye modi ji asha karta hu jistarah desh ki janta ne khas kar bihar ki jant,positive
5840,but topi walay babu ki tau new job hougi humey chutti kesay milay gi,negative
32791,ye modi media walon ko bhi maza ata hai hindu muslim ke debate karne me,neutral
37480,baih tere itjey kya jalti hai pakistan se chutiye khelne de na unhe bc tu indian bhi nahi h,negative
16395,hehe i saw that coming and it s actually from someone s shaadi,neutral
33428,can you answer miscalculated votes on each seat one vote matters deshkamahatyohar hai aur apne dhji,neutral
19222,allah pak os k dil ka darwaza kbi off nai krta jo sb k lyhe ache ehsas aor dua dil ma rkhta ho aajzi,neutral
8422,bahut hi samajhdari se cingress ne ye faisla liya hai aur ummeed karta hoon k desh ke sabhi party,neutral
26930,tu safar mera tu hi meri manzil tere bina guzara aye dil hai mushkil i love u,positive
40285,dobar se pm bnne ki aapko dher sari shubhakamnyen ummid hi aapke isa karykala me desh bhut si nyi uplbadhiyon k,positive
21403,we can face life together and we can spend my money on the both of us but it s still my money,positive
35826,waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai fir kiya tha apne aapne aap ko ba,positive
18017,tani abe haattt tum flop logo ki aukaad hi kiya h chutiya log ja aapijaan ki chaplusi kar bad,negative
39736,ohho very beautiful eyes yarrrrr,positive
15893,evryone shit the fuck up,negative
5433,haram khor log ulta chor kotowal ko dantey mulk torney ki bat kerney waley ko or phulon ke har pehn,negative
23492,army fin also stade de france is preparing for the concert looks so beautiful see their post on instagram,positive
13515,jai shree ram jarurat nahi aandolan ki guruji modi h to mumkinn h pls trust our pm,positive
34678,phir se lut chalu ho gaya bjp walo tumhe kuch chut mil raha hai ya nahi milna to chahiye q ki,neutral
11310,jinko khud nahi pta ki ramcharitmanas kya hai wo bhej rahe h bjp neta ko phle khud samjhna chahiye f,neutral
27883,abe yhi hai ram rajya kya jisme sbhi sale harami ho jo sale itne berahm se maar rhe ho modi dekhna be sale tere,negative
16679,hs maybe i ll faing and i wo nt feel thing,neutral
26920,duniya me dil koi kabhi na dadka hota dadkha hai dil yar mil ye pyar ka izhar hai kaho na pyar hai do premi do p,neutral
35982,i m poor poorever happy kase god is with me,negative
14603,madam ji we always miss you as videsh mantri,positive
37801,sharma saw the episode nice one sir maan gaye yaar sharma sir aap bahut himmat wa,positive
18824,happy birthday doctor sahab bhagwaan aapko khush or swasth rkhe or aap hme aise hi apni creativity se hansaate rhe,positive
21543,teri kimat dokodi ki ho gayi amit shah will capture telegana soon kcr will resign,negative
19116,ek bhe poj bhai wala mahe hai sab chipka ker rakhy hai yeh bhai bahen ka pyar hai,positive
44557,mamta banerjee na jane ho kya hai tumko ye desh ram ka hai jaishriram haar ka ghum m dubi ho bus b,negative
2359,still far better than mms govt so if u r so connected with numbers and economy can u share your,neutral
1445,chanda make gentle and nice relation with someone life me kisi k sahare ki zarort parti ha,neutral
5440,chanda should i hope fr the best d,neutral
7229,woo hoo cricket world cup starts today good luck to hosts in the tournament hope for good st,neutral
27364,family background ka keh ni sqtai cause kaee ldkiyan fake naam sai ids banati h n pics upload krti bina ghr walu ki ijazat k,neutral
40382,mp sahab dr manoj rajoriya g ko jeet ki haardik subhkamnaye,positive
27897,koi apna nahi ghum k maare murdered raped fucked shredded to bits hai hum,negative
35758,back to again karate chopped that cold quickly feels good to feel good waaaaag,positive
38461,sadji kisi ne bheja h apke liye,neutral
32467,gadkari sir badhai ho sir agra ke meyar ko smjhao kuch kare modiji raj is ramraj but,positive
33309,this painting has famous indian ads hidden in it which is tne favourite symbol of an ad you can spot anyone k,neutral
10989,i m so fckn pist i lost my damn ysl shades,negative
18753,i give araki lot of credit for how kuch detail and work goes to making his characters then again hes been at it,positive
