ID,Text,class
4330,nen á vist bolest vztek smutek zmatek osam ě lost beznad ě j a nakonec jen klid asi takhle vypad á ů j life,neutral
41616,yaar neha post sach photoshoot phir post,neutral
6648,television media congress h aapko gya achha congress,negative
2512,india nrc lagu w kashmir dhara khatam ham indian apse umid,positive
610,pagal real issues mandir important hindu khatre mei,neutral
14356,jeet dher sari subh kamnaye modi ji asha jistarah desh janta khas bihar jant,positive
5840,topi walay babu tau job hougi humey chutti kesay milay gi,negative
32791,modi media walon maza ata hindu muslim debate,neutral
37480,baih itjey jalti pakistan chutiye khelne indian h,negative
16395,hehe coming shaadi,neutral
33428,answer miscalculated votes seat vote matters deshkamahatyohar dhji,neutral
19222,allah pak os dil darwaza kbi krta sb lyhe ache ehsas aor dua dil ma rkhta aajzi,neutral
8422,samajhdari cingress faisla ummeed hoon desh party,neutral
26930,safar manzil bina guzara dil mushkil love u,positive
40285,dobar pm bnne aapko dher sari shubhakamnyen ummid aapke isa karykala desh bhut nyi uplbadhiyon,positive
21403,face life spend money money,positive
35826,waah khub likha shama jala roshan kardeta ba,positive
18017,tani haattt flop logo aukaad h chutiya aapijaan chaplusi,negative
39736,ohho beautiful eyes yarrrrr,positive
15893,evryone shit fuck,negative
5433,haram khor ulta chor kotowal dantey mulk torney bat kerney waley phulon pehn,negative
23492,army fin stade france preparing concert beautiful post instagram,positive
13515,jai shree ram jarurat aandolan guruji modi h mumkinn h pls trust pm,positive
34678,phir lut chalu bjp walo tumhe chut milna,neutral
11310,jinko pta ramcharitmanas bhej h bjp neta samjhna f,neutral
27883,yhi ram rajya sbhi sale harami sale berahm maar modi dekhna sale,negative
16679,hs faing nt feel a,neutral
26920,duniya dil dadka dadkha dil a yar pyar izhar kaho pyar premi p,neutral
35982,poor poorever happy kase god,negative
14603,madam ji miss a videsh mantri,positive
37801,sharma episode nice sir yaar sharma sir himmat wa,positive
18824,happy birthday doctor sahab bhagwaan aapko khush swasth rkhe hme creativity hansaate,positive
21543,kimat dokodi amit shah capture telegana kcr resign,negative
19116,bhe poj mahe chipka ker rakhy bahen pyar,positive
44557,mamta banerjee jane tumko desh ram jaishriram haar ghum dubi bus b,negative
2359,mms govt u r connected numbers economy u share,neutral
1445,chanda make a gentle nice relation life sahare zarort parti ha,neutral
5440,chanda hope fr,neutral
7229,woo hoo cricket world cup starts today luck hosts tournament hope a st,neutral
27364,family background ni sqtai kaee ldkiyan fake naam sai ids banati h n pics upload krti bina ghr walu ijazat,neutral
40382,mp sahab dr manoj rajoriya g jeet haardik subhkamnaye,positive
27897,ghum maare murdered raped fucked shredded bits,negative
35758,back karate chopped cold quickly feels feel waaaaag,positive
38461,sadji bheja h apke,neutral
32467,gadkari sir badhai sir agra meyar smjhao modiji raj ramraj,positive
33309,painting famous indian ads hidden tne favourite symbol ad spot,neutral
10989,fckn pist lost damn ysl shades,negative
18753,give araki a lot credit detail work making characters hes,positive
25483,modi ji rahega ram mandir banawao dhara hatao hindurastra ghosit karwao logo,positive
13396,pagol kuute samne roti dalna sholay thakur saab bolke geye logbog saal p,positive
7897,im proud love congratulations homies,positive
26915,muslims muslims muslims musalmaano khudki izzat desh naslo,negative
8238,kamine pan aapko kev jail bina order railway platform pa,negative
28701,vishwas u guys modiji u god tel,negative
40128,party candidate modi jitana hey vote,neutral
14505,g ham trha ptwari olad ham pakistani pakistan sy pyar krty h,positive
22273,sudhroge fact check bat chutiye,negative
35558,jai shri ram haz turned vande mataram day,neutral
8199,wishes world cup eid mubarak muzaffar hasan national general secretary ljp,neutral
2144,aarthik madad pakistan aawam hak rss propoganda publication pas,neutral
23844,ham dushman wafadari daawa ham,neutral
8910,pass naaz bacha haqikat pasand ban,negative
33576,tryna find perfect watermelon,neutral
28206,match zaror dekhna dukh phr jhalna khel talent parchiyo baserra,neutral
32666,sort caused love pomeranians a picture chew toy litt,positive
26044,awwwie lau morning,positive
19034,problem democratic vivek katori attention bheek mang uspe khoon laga,negative
13152,dearest friend shri ji birthday maa aashapura bless lots love happ,positive
17992,wonda month ramadan positive heart desires prayers family friends granted insha allah,positive
23129,marwaadi roshan oye roshan meh jcb khudai roshan,neutral
15581,,neutral
8604,spotter sirf pauranik kathaon payi jaati vaastavikta sambandh,neutral
20097,bjp leader vishwas sarang bhopal tabaadla udyog congress sarkar phal vidhayak vyapar kendrabindu h,neutral
5225,apny indian fikkar pakistan dykh lyngy mukti bahini ban,neutral
31039,sarkar bunyaad tiki h mukaam pahunch laghusanka deri h,positive
41953,alvida mubarak duwa guzarish,positive
43996,sir modi pr vot pada h ao yamuna nagar rajiv garden bank calony logo,neutral
18866,jyda gyan pelo democracy majak udana band kro competition dete baat,positive
28950,khan ankush khush raho pray u coz nafrat,positive
36545,sare tweet arsal support jiya man chai yasit liy,neutral
2745,jaaz saab salo saal pending case soultion maza inko public paise monthly case miljaye,negative
38245,secretofpositivity papaji dhan dhan satguru aasra morning ji mugje,positive
31302,a bachi piece maal rehmat,neutral
11709,kaho dil wese shakal aesa matter krta,neutral
20225,thx single memer making day u guys r amazing jcb jindabaad jcbkikudhayi jcbkikhudaai,positive
34859,nonstop entertainment performance watch srgmplilchamps satsun pm,neutral
42434,atankwadi uski jaat musalman ready musalman h baat,negative
23986,hume yun bhula paoge,neutral
37553,soul tony stark dil leke ghum,positive
4443,gunde saale ac hall baith mt bhonk yogendrayadav aukat h gurgaon bnde c,negative
37414,bengal bjp mei tmc galat neta app bachane jogdan party support barne baj,neutral
26700,arsed liverpool winning premier league joke stands,positive
19318,happy birthday pretty girl u agnes memories cards hahahahaha enjoy day,positive
19685,jan sharam haya qimat lagwai liay kute seat miliy haqomat talway chatny,negative
16219,sir life sapna kabhe din mulakaat kerna netaaon fan,neutral
14905,dear shahrukh love encouragement,positive
13262,shariyath pahele india sirf muslims liyah rahegi inshallah,positive
33719,bharatthiseid bharat loveusalman superb handsome,positive
30635,bohat pakhtono pashtunistaan nasha charha howa aj hosh a jao wrna sach mar parhe gi bar,negative
26753,dhup aarti shri sai baba mandir shirdi baba bless happiness world om sai ram,positive
9677,amit shah ji jet airways employee bare kariye parivar pareshan bhukhe mar,positive
20043,abroad property kr chhupane wal respectfull aqam panama harami waseem abbasi,negative
27049,respected rahul sir disappoint u r a great leader,positive
19215,watch bet perf choreo kinda sexy fit shihyun,positive
4647,jay bajrang bali,positive
41076,h thora bt ajib h,neutral
4034,haramzade tukdo palta hamein aakh dikhata kutte pagal,negative
25360,haaye entry herowalientry part today episode shaheersheikh yehrishteyhainpyaar,positive
33442,ssidhu ind payega,negative
24139,year declared record watching badshah times claims biggest fan,neutral
18846,mut sorry health department sare hospital band dhar gaumutra bimari,negative
29030,priyanka prakash modi dada poti kehna chahti dada v sapat dahej,positive
22594,easy make easy love u bhaji hanji kida lagy movie chandigarhamritsarchandigarh jina ny nh,positive
12417,sir election commision gali govt employee gali election krata,neutral
31335,pitega ak din chutiye sale himmat voters idiots bolne ujde,negative
39578,pmo morning modi ji binti facbook din raat lage modi ji,neutral
36320,salman khan fight scene ºδº movie instagram photo,positive
14490,mderchod bhartye sainik likhta h hrami aulad hindu hogya bs desh bhakt gali,negative
7639,shatram arey didi depressed gyi bechari chlo din rr band tweets kuki mjh,neutral
37806,chalo goiz followers hogye mujhy unfollower mt warna allah pochy ga logo muslmano jisko follow ba,neutral
27128,google friend sick belie walie haiiiiiii,neutral
18904,narendra damodar modi ji vadnagar kamalka banshiwala shubh apka e jatra,positive
1681,talented god creating a perfect generous person pray continue b,neutral
28730,sach deewana dil dil lagana jhoothe pyaar waade sare jhoothi pyaar kasme,neutral
1936,odisha sir umid ahi jai jagannath swami,neutral
10559,pubg ni khelta tiktok ni krta suta ni lagata girlz dm ni krta society accept,neutral
15663,namaskar sir ji requst lakhnpur satwari chowk street light,positive
22673,bjp atankwadi h aour hindu rss deshdrohi b,negative
17068,sabdo marham gahra jakham dur bacho bachiyo bhavbhini sardhanjali pari,positive
16439,sorry ca nt tailor ny eid kapre kharab,neutral
24809,h logo ghatiya gareebo mar rah,negative
12827,modi ji e paas zameen haiuse kisan samman nidhi yojna salana dene,neutral
6161,dato inshallah celebrate star tonight ynwa,neutral
20134,london join tomorrow opening night exhibition networks eng eng knowledge eng showcasing institute library,neutral
18960,chutiya hoo gandu cogress harne buti haarnegi lavde,negative
2018,arey bhau bar budget kaam lonavla direct goregaon filmcity set laga,positive
42965,manniya goyal ji avdhesh duby jail dal kripya traino tte police loot,negative
21441,saurus intended joke funny sense humour crazy kids,neutral
32574,ah cute love,neutral
617,jai shree ram mamtaji pranam mukhya mantri bank aashirwad jai shree ram,neutral
20345,voice kir proud love modi ji finally make digital india,positive
39591,baten khtam ni baat ni journey hurting leave reason,neutral
7613,identity side west bengal country,negative
38713,pramod acharya padvi gadhe acharya tumko kissa mal,negative
35265,ajay movies point great continuous,positive
15010,sir wife gya hospital chakker lagate abi tk doctor medisen,neutral
34399,kutty harami namak haramii gooo back afgan,negative
266,mp govt kamalnath h wese video viral h aapke shantidut dukandar,negative
16713,besharam tappad kayega tumara anti national hindu muslim dukan bhand hogaya bunt,negative
28907,fake video andh bhakts forced circulate increase popularity rate,negative
22798,love smell air back home dharan,positive
26042,hell pepsi vanilla coming back miss,neutral
36095,digwijay ji chunaw harne tension tension gya sant,neutral
23804,happy happybirthdaysonakshisinha,positive
14239,airport vimlesh ji vada nibha u purchase land stamp dut,negative
21196,raksha bhagvan system sarkar aaropiyon bacha rah,neutral
34663,congratulations hon prime minister victory ur back n finally ur back prachand bhumat,positive
29280,video audio dekhna bewakoof aadmi,negative
31391,wtf pretty eyes eyes fucking eyes video annoying imagine ignorant shit,negative
37666,din iqbal shaheeno advance eid msg send dhora jna,neutral
14014,taraf aane takleefon gunahon saza samjhna allah bohat mehrban badle l,positive
40785,light kat shuru match uclfinal delhi garmi maar,negative
20844,rahul gandhi chowkidar chor nara bhut bhari pad gya kuki bail,neutral
24005,stuffs salman continue fuck chindiwaali filmfare luck mote bhains,negative
39372,sajish badi halke sarkar sena isko gira,neutral
23837,srk charm personality swag yessa hero villain role sbse jayda popular,positive
23830,sir oonki aadat shumaar hbycot media deshwasion chalegaki gandi naali,negative
42705,mamatabanrjee ravan bhagwan samjhne lgi logo,negative
39643,waqie boht bra haraami bul waldo zinaa paidawaar tangg,negative
10743,congratulations hounarble prime minister shri narendar damoder dass modi ji sabi bharat wasi kaman,positive
38950,give a free place operate official weatherman day behalf haha,neutral
12785,kesy yr tumhe pakistan mustakbil phir rhy mulk bando galiya gy shame yrr,negative
17244,kisika naam entertainment pet bharta h usme burai h sare,neutral
29990,rail mantri ji tatkal wl ticket charges sarkari loot band chayiye,negative
25861,wey vales madres neta ni siquiera intentes,negative
33081,gaze movie bnaye gi modi love dolly class kahaani,neutral
16812,grad walk kids excited sam yeto graduating seniors,neutral
15664,possible situatiin dkhne saari logical chz result jaannne cha,neutral
30624,ordinance tear dictatorship haar maniye mahnat agay bde phir,positive
37106,work hard back strongly allha plan inshallha rock wishes,positive
20437,p india shri narendra modi ji p banane badhai patel advocate faizabad mb,positive
18938,nonsense shrenu,negative
24194,fake love worse real hate,neutral
16052,starr gadho obama president president usney badhai sandesh bheje,neutral
22350,sir sirf apka news channel dekhta apka channel sachi news dekhata,positive
9187,samay samay baat rathee modiisnodivider timemagazine ispr bolne himmat,neutral
23489,faida bhaiya chutiye automated message bhejte rahenge,negative
6838,sparklers ms hoke mrs koistinen retiring a blessing sme,positive
32635,tintin lindsay freaks n geeks love die cool literally minds busines,neutral
25888,congress party media balo dhamki dete government,negative
30450,a mirza kyon matlab english zubaan dua dua qabool allah,negative
22605,jayada bjp fake whatsapp websites advertiser heir hut modi tujse ummid,negative
3570,satpute awaaz ghai buy level,neutral
41232,khan sb modi liay nahee bulaya khan sb aajayenge tou indian media modi kochour kha,neutral
13198,happy birthday pfluke wish a health khrab projects a life full bounty,positive
