ID,Text,class
4330,nen á vist bolest vztek smutek zmatek osam ě lost beznad ě j nakonec jen klid asi takhle vypad á ů j life,neutral
41616,nehantics haan yaar neha kab karega woh post usne na sach mein photoshoot karna chahiye phir woh post karega https tco,neutral
6648,rahulgandhi television media congress ke liye nhi h ye toh aapko pata chal hi gya hoga achha hoga ki congress ke https co,negative
2512,amitshah narendramodi india nrc lagu kare w kashmir se dhara khatam kare ham indian ko apse yahi umid hai,positive
610,nehr typomantri anjanaomkashyap pagal hai kya real issues mandir important hindu khatre mei jo hai,neutral
14356,narendramodi jeet ki dher sari subh kamnaye modi ji asha karta hu jistarah desh ki janta ne khas kar bihar ki jant https co,positive
5840,fakeionist samjhotaxpress plichapel topi walay babu ki tau new job hougi humey chutti kesay milay gi,negative
32791,aajtak syedasimwaqar chitraaum syedzafarbjp ye modi media walon ko bhi maza ata hai hindu muslim ke debate karne,neutral
37480,tarekfatah baih tere itjey kya jalti hai pakistan se therealpcb chutiye khelne de na unhe bc tu indian bhi nahi h https co zwvpsnayoe,negative
16395,desimarthastew hehe saw coming actually someone shaadi,neutral
33428,ecisveep answer miscalculated votes seat one vote matters deshkamahatyohar hai aur apne dhji https co,neutral
19222,allah pak os k dil ka darwaza kbi nai krta jo sb k lyhe ache ehsas aor dua dil rkhta ho aajzi,neutral
8422,ravishkumarblog bahut hi samajhdari se cingress ne ye faisla liya hai aur ummeed karta hoon k desh ke sabhi party https co,neutral
26930,rt tu safar mera tu hi meri manzil tere bina guzara aye dil hai mushkil love u iamsrk https co,positive
40285,dobar se pm bnne ki aapko dher sari shubhakamnyen ummid hi aapke isa karykala desh bhut si nyi uplbadhiyon k https co,positive
21403,siitae face life together spend money us still money,positive
35826,waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai fir kiya tha apne aapne aap ko ba https tco,positive
18017,tani yabikikainaaat abe haattt tum flop logo ki aukaad hi kiya h chutiya log ja aapijaan ki chaplusi kar bad https co,negative
39736,marrjao shining ohho beautiful eyes yarrrrr,positive
15893,evryone shit fuck https co rinomqkpsz,negative
5433,atifthepoet haram khor log ulta chor kotowal ko dantey mulk torney ki bat kerney waley ko phulon ke har pehn https co,negative
23492,rt bts army fin also stade de france preparing concert looks beautiful see post instagram https co owhp,positive
13515,aajtak jai shree ram jarurat nahi aandolan ki guruji modi h mumkinn h pls trust pm,positive
34678,phir se lut chalu ho gaya bjp walo tumhe kuch chut mil raha hai ya nahi milna chahiye q ki https tco,neutral
11310,amarujalanews jinko khud nahi pta ki ramcharitmanas kya hai wo bhej rahe h bjp neta ko phle khud samjhna chahiye f https co,neutral
27883,abe yhi hai ram rajya kya jisme sbhi sale harami ho jo sale itne berahm se maar rhe ho modi dekhna sale tere https co,negative
16679,nsfw hs maybe faing wo nt feel thing,neutral
26920,duniya dil koi kabhi na dadka hota dadkha hai dil yar mil ye pyar ka izhar hai kaho na pyar hai premi p https co,neutral
35982,poor poorever happy kase god,negative
14603,madam sushmaswaraj ji always miss videsh mantri,positive
37801,abhisar sharma newsclickin saw episode nice one sir maan gaye yaar abhisar sharma sir aap bahut himmat wa https co,positive
18824,happy birthday doctor sahab bhagwaan aapko khush swasth rkhe aap hme aise hi apni creativity se hansaate rhe,positive
21543,indiatoday teri kimat dokodi ki ho gayi amit shah capture telegana soon kcr resign,negative
19116,sahibasafeena rubikaliyaquat ek bhe poj bhai wala mahe hai sab chipka ker rakhy hai yeh bhai bahen ka pyar hai https co,positive
44557,mamataofficial mamta banerjee na jane ho kya hai tumko ye desh ram ka hai jaishriram haar ka ghum dubi ho bus b https co,negative
2359,sakshijoshii still far better mms govt u r connected numbers economy u share https co,neutral
1445,sunoo chanda make gentle nice relation someone life kisi k sahare ki zarort parti ha,neutral
5440,sunoo chanda hope fr best,neutral
7229,woo hoo cricket world cup starts today good luck hosts englandcricket tournament hope good st https co chihiwhnev,neutral
27364,family background ka keh ni sqtai cause kaee ldkiyan fake naam sai ids banati h n pics upload krti bina ghr walu ki ijazat k,neutral
40382,drmanojrajoria mp sahab dr manoj rajoriya g ko jeet ki haardik subhkamnaye,positive
27897,koi apna nahi ghum k maare murdered raped fucked shredded bits hai hum,negative
35758,back karate chopped cold quickly feels good feel good waaaaag,positive
38461,rt arvindkejriwal sadji kisi ne bheja h apke liye https co,neutral
32467,nitin gadkari sir badhai ho sir agra ke meyar ko smjhao kuch kare modiji raj ramraj https co,positive
33309,rt dillidurast painting famous indian ads hidden tne favourite symbol ad spot anyone k,neutral
10989,fckn pist lost damn ysl shades,negative
18753,give araki lot credit kuch detail work goes making characters hes https co,positive
25483,modi ji ye sab hota rahega lekin pehle ram mandir banawao dhara hatao hindurastra ghosit karwao logo https co,positive
13396,indiatoday pagol kuute ke samne roti dalna sahi nahi hai yeh sholay thakur saab bolke geye logbog saal p https co,positive
7897,rt smallssbabeyy im proud love congratulations homies https co,positive
26915,muslims muslims muslims jab musalmaano ko hi unki khudki izzat ki khud ke desh ki khud ke hone ki khud ki naslo ki https co,negative
8238,akhileshpsingh hadd hai kamine pan ki aapko pata hai ye kev jail gaya hai ye bina order ke railway platform pa https co,negative
28701,indianexpress vishwas u guys want modiji u dont want even god comes tel https co,negative
40128,roflvoice party candidate nahi dekhe hoge bas modi ko jitana hey kar ke vote diye,neutral
14505,chaudharyumard nhi g ham ap ki trha nhi ptwari ki olad ham pakistani aur pakistan sy pyar krty h https co exmydngpoy,positive
22273,cpimspeak narendramodi manakgupta tum kabhi nahi sudhroge fact check fir bat kar chutiye,negative
35558,abpanandatv jai shri ram haz turned vande mataram day irajdeep republic amitmalviya https co,neutral
8199,best wishes world cup eid mubarak muzaffar hasan national general secretary ljp https co,neutral
2144,sksushilm aarthik madad nahi wo pakistan ki aawam ka hak tha aur yeh rss ke propoganda publication apne pas hi rakho,neutral
23844,ye kaafi hai ki ham dushman nahin hain wafadari ka daawa kyun karen ham thinking something,neutral
8910,weirdlyprobable nishupedia actually inke pass ab naaz karne ke liye kuch bacha hi nahi hai haqikat pasand ban https co,negative
33576,rt afghannextdoor one tryna find perfect watermelon https co,neutral
28206,sweetnsaltyy match zaror dekhna dukh phr jhalna ye khel hai talent ka na parchiyo ka baserra,neutral
32666,jungkookmh sort like caused love pomeranians picture chew toy litt https co,positive
26044,iaurentsai awwwie thank lau good morning,positive
19034,rt mean problem democratic vivek tum jo katori main attention ki bheek mang rahe ho uspe khoon laga hai,negative
13152,greetings dearest friend shri ji birthday maa aashapura bless lots love happ https co,positive
17992,rt iam wonda month ramadan positive heart desires prayers family friends granted insha allah,positive
23129,rt guy marwaadi roshan oye roshan meh jcb ki khudai dekh k aaya roshan https co,neutral
15581,indiatvnews zeenewshindi rajatsharmalive sudhirchaudhary incindia yadavakhilesh arvindkejriwal https tco,neutral
8604,rt ghost spotter ye sirf pauranik kathaon mein payi jaati thi vaastavikta se iska koi sambandh nahi hai,neutral
20097,rt ani bjp leader vishwas sarang bhopal tabaadla udyog congress ki sarkar mein phal raha hai vidhayak vyapar ke kendrabindu par h,neutral
5225,divyanshmohit gulbukhari tum apny indian ki fikkar karo pakistan ko hum khud dykh lyngy mukti bahini nahi ban https co,neutral
31039,roflgandhi ki sarkar jiski bunyaad pe tiki h wo aaj apne mukaam pe pahunch gayi laghusanka ki deri h fir https co,positive
41953,alvida mubarak duwa ki guzarish https co,positive
43996,mlkhattar sir ye modi ke name pr vot pada h ap kabhi ao yamuna nagar ki rajiv garden bank calony dekho logo ka https co,neutral
18866,lambaalka jyda gyan na pelo aur democracy ka majak udana band kro thoda competition dete aur ye baat bolte thi https co,positive
28950,naushadalee gauahar khan bhai ankush khush raho pray u coz know nafrat se kabhi kis https co,positive
36545,much ab sare tweet arsal ke support jab jiya ka man nhi wo chai nhi bana sakti yasit ke liy https co,neutral
2745,sardanarohit jaaz saab ko salo saal ke pending case ko soultion maza nahi aata inko public paise monthly case miljaye,negative
38245,rt satguruterirhmt secretofpositivity derasachasauda gurmeetramrahim papaji dhan dhan satguru tera hi aasra good morning ji mugje tu,positive
31302,bachi piece maal rehmat,neutral
11709,rt kch mat kaho dil se nahi ho wese shakal ka mjhe pata nahi aesa kch matter nahi krta https co,neutral
20225,thx every single memer making day u guys r amazing jcb jindabaad jcbkikudhayi jcbkikhudaai https co,positive
34859,rt zeetv nonstop hoga entertainment par kaun dega performance sabse best watch srgmplilchamps satsun pm beingsalmank,neutral
42434,shayri kanhaiyakumar fir jo atankwadi uski jaat musalman q hoti jo ready musalman h woh yeh baat q https co,negative
23986,tum hume yun bhula na paoge https co,neutral
37553,squirrel soul tony stark ka dil toh ye leke ghum rha hai,positive
4443,mixedraita gunde saale ac hall baith k mt bhonk yogendrayadav aukat h gurgaon k kisi ek bnde ka c https co,negative
37414,bengal bjp mei tmc ke kuch galat neta apne app ko bachane ko jogdan kar rahe isse party ka support barne ke baj https co,neutral
26700,rt emenaio actually arsed liverpool winning good premier league joke still stands already,positive
19318,happy birthday pretty girl thank u good agnes memories cards soon hahahahaha enjoy day https co,positive
19685,oryamaqbool jan sharam haya ki qimat lagwai hai liay kute ko ye seat miliy har haqomat k talway chatny wala hai ye,negative
16219,ppbajpai sir life ka ek sapna hai kabhe kisi din aap se ek mulakaat kerna log netaaon k fan hote hain mai aap ka https co,neutral
14905,rt jaavedjaaferi iamsrk meezaanj sharminsegal thank dear shahrukh love encouragement,positive
13262,ani mere bhai yah shariyath tho pahele se hi india may sirf muslims ke liyah hai aur rahegi inshallah https co webwjsbmyj,positive
33719,beingsalmankhan bharatthiseid bharat loveusalman superb look handsome https co kmqdsbnxvf,positive
30635,bohat pakhtono ko pashtunistaan ka nasha charha howa hai aj kal hosh mein jao wrna sach ki mar parhe gi bar,negative
26753,dhup aarti shri sai baba mandir shirdi may baba bless happiness world om sai ram https co,positive
9677,amitshah amit shah ji please jet airways ke employee ke bare mein kuch kariye parivar wale bahut pareshan hai bhukhe mar rahe hain,positive
20043,abroad property rakh kr chhupane wal respectfull hota aqam ne panama harami waseem abbasi,negative
27049,timesofindia rahulgandhi respected rahul sir dont disappoint u r great leader aap ki soch aap https co ycvqebnoua,positive
19215,searchuser watch bet perf choreo kinda sexy fit shihyun much,positive
4647,jay bajrang bali https co,positive
41076,shahidholicwrld good wala sahi h thora bt bad ka last ajib h,neutral
4034,shannayakk haramzade hamare tukdo pe palta hai hamein aakh dikhata hai kutte tu pagal ho gaya https co,negative
25360,rt gangulishrabani haaye entry ho toh aisi herowalientry best part today episode shaheersheikh yehrishteyhainpyaar,positive
33442,prisitanshu navjot ssidhu sherryontopp tajinderbagga majorpoonia kapilmishra ind incindia inse na ho payega,negative
24139,iamsrk year old declared record watching badshah times claims biggest fan https co,neutral
18846,yadavdimples nahi mut sorry health department sare hospital band karo sab ko pehle dhar ka gaumutra sab bimari https co llfzkmqlxb,negative
29030,main priyanka prakash modi dada ki poti main unse kehna chahti hun ki baar mere dada ye v sapat le ki dahej https co,positive
22594,rt easy make easy love u igippygrewal bhaji hanji kida lagy movie chandigarhamritsarchandigarh jina ny nh,positive
12417,sardanarohit aajtak sir ye election commision ko gali nai de rhe ye govt employee ko gali de rhe jo election krata hai,neutral
31335,mixedraita tu bahut pitega ak din chutiye sale teri himmat kaise hui voters ko idiots bolne ki abe ujde https co,negative
39578,pmoindia hi pmo good morning modi ji se ek binti hai hum log facbook pe unke liye din raat lage rahe modi ji k par https co uaxkoblywj,neutral
36320,rt salman khan best fight scene ºδº movie see thismagazine instagram photo baghda,positive
14490,foujidil mderchod bhartye sainik likhta h hrami aulad hindu hogya bs desh bhakt ho gaya kisi bhi gali teri may https co,negative
